Carrier Code,Status,Name,Scac,Carrier Type,Type Description,Type Group
AHGL,A,ARCHER LOGISTICS- LTD,AHGL,CON,CONTRACT FLEET,Trucklo
AHGY,X,AH GARY TRANSPORT INC,AHGY,CON,CONTRACT FLEET,Trucklo
AHLD,X,AGAM HOLDINGS LTD,AHLD,CON,CONTRACT FLEET,Trucklo
AHMA,A,GTL XPRESS LLC,AHMA,CON,CONTRACT FLEET,Trucklo
AHNP,X,ATHENA TRANSPORT LLC,K936,CON,CONTRACT FLEET,Trucklo
AHOT,X,ARMSTRONG TRANSPORTATION,AHOT,CON,CONTRACT FLEET,Trucklo
AHRF,A,ARNHALT TRANSPORT- INC.,AHRF,CON,CONTRACT FLEET,Trucklo
AHSE,X,AHS EXPRESS INC,AHSE,CON,CONTRACT FLEET,Trucklo
AHTN,A,A and H TRUCKLINE INC.,AHTN,CON,CONTRACT FLEET,Trucklo
AHVP,X,ASHEVILLE EXPRESS LLC,AHVP,CON,CONTRACT FLEET,Trucklo
AHXM,A,ARCH TRANSPORT LLC,AHXM,CON,CONTRACT FLEET,Trucklo
AHXN,A,ASH TRANSPORT LLC,AHXN,BRO,BROKER,Trucklo
AIDD,A,AIM 3PL SERVICES,AIDD,CON,CONTRACT FLEET,Trucklo
AIDJ,X,ACHINT TRUCKING INC,AIDJ,CON,CONTRACT FLEET,Trucklo
AIEQ,X,ALL IN EXPRESS CORP,AIEQ,CON,CONTRACT FLEET,Trucklo
AIHL,X,AMIL LOGISTICS LLC,AIHL,CON,CONTRACT FLEET,Trucklo
AIKP,A,ALCINDOR S TRUCKING,AIKP,CON,CONTRACT FLEET,Trucklo
AIKQ,X,AIKAM LOGISTICS INC,7386,CON,CONTRACT FLEET,Trucklo
AIMP,X,AIM TRANSPORT- INC.,AIMP,CON,CONTRACT FLEET,Trucklo
AIND,X,ROUTE ONE SPECIALIZED,AIND,CON,CONTRACT FLEET,Trucklo
AIOL,A,AST EXPRESS,AIOL,CON,CONTRACT FLEET,Trucklo
AIPA,X,ARL,AIPA,CON,CONTRACT FLEET,Trucklo
